system:index,B11,B12,B2,B3,B4,B8,NDBI,NDVI,class,random,.geo
2_1_1_00000000000000000025_0,0.2527,0.256,0.0555,0.0706,0.1046,0.1607,0.22254477,0.21145871,0,0.7819090356767574,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.856171401503069,46.68486141075685]}"
2_1_1_0000000000000000002c_0,0.2535,0.2083,0.0696,0.0918,0.1032,0.1969,0.12566611,0.31222922,0,0.873621207150668,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.891385360640554,46.68773601966603]}"
2_1_1_0000000000000000002d_0,0.2749,0.2304,0.0646,0.0824,0.084,0.2633,0.021553304,0.5162684,0,0.8822105823923624,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.864795228230617,46.682076633376084]}"
2_1_1_0000000000000000002e_0,0.3,0.2598,0.0531,0.0702,0.0894,0.1517,0.32831526,0.258399,0,0.7389614312326057,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.86452573364538,46.687286862023974]}"
2_1_1_00000000000000000035_0,0.2075,0.1472,0.056,0.0656,0.0735,0.1754,0.08383388,0.4094014,0,0.9009302637176927,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.873778381071812,46.69429372124011]}"
2_1_1_00000000000000000039_0,0.2017,0.1792,0.1234,0.1412,0.156,0.1707,0.08324383,0.044995394,0,0.8626170868528537,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.888331088674548,46.68863433495016]}"
2_1_1_0000000000000000003b_0,0.2558,0.2198,0.1456,0.176,0.1898,0.199,0.124890074,0.023662569,0,0.7643047960684765,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.891475192168967,46.68962248176269]}"
2_1_1_0000000000000000003d_0,0.2373,0.197,0.041,0.05,0.0551,0.1141,0.3505976,0.34869975,0,0.9931126667467169,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.866232532685208,46.688993661063805]}"
2_1_1_00000000000000000040_0,0.2301,0.194,0.0562,0.067,0.0716,0.157,0.18884009,0.37357834,0,0.9151202258241297,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.866502027270443,46.685669894512564]}"
2_1_1_00000000000000000042_0,0.2046,0.2006,0.0748,0.0844,0.0946,0.1124,0.29085174,0.085990354,0,0.7754524652884955,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.883659849197127,46.686837704381915]}"
2_1_2_00000000000000000004_0,0.2107,0.1912,0.049,0.0551,0.0522,0.0868,0.4164706,0.24892086,0,0.9364072148715159,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.882222544742535,46.686837704381915]}"
2_1_2_00000000000000000005_0,0.2235,0.2593,0.0728,0.0865,0.096,0.1328,0.25456077,0.16083916,0,0.8277864813383683,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.868478320895506,46.68378343241591]}"
2_1_2_00000000000000000006_0,0.1575,0.139,0.0308,0.0366,0.0378,0.0618,0.43638852,0.24096386,0,0.7564590029117716,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.863357923776025,46.688544503421745]}"
2_1_2_00000000000000000007_0,0.2525,0.2382,0.0516,0.0664,0.075,0.1004,0.43100026,0.14481184,0,0.9418541815594008,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.855812075389421,46.68468174770003]}"
2_1_2_00000000000000000008_0,0.361,0.3383,0.059,0.0717,0.099,0.1683,0.36406574,0.25925928,0,0.7801661129727903,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.856800222201953,46.68647837826827]}"
2_1_2_0000000000000000000a_0,0.2443,0.2259,0.0507,0.0517,0.062,0.0945,0.44214875,0.20766772,0,0.9667008594556974,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.856351064559893,46.68360376935909]}"
2_1_2_0000000000000000000e_0,0.2755,0.2391,0.043,0.0434,0.0513,0.0818,0.54212147,0.22915101,0,0.9216565531114935,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.868568152423919,46.68926315564904]}"
2_1_2_00000000000000000011_0,0.1829,0.1559,0.0412,0.0429,0.0417,0.0538,0.5454161,0.12670156,0,0.7335984375075022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.877281810679878,46.68953265023428]}"
2_1_2_00000000000000000012_0,0.3429,0.2319,0.0558,0.0852,0.0755,0.1854,0.2981261,0.4212342,0,0.9552969498670956,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.878988609719705,46.69222759608663]}"
2_1_2_00000000000000000015_0,0.0487,0.0347,0.0775,0.0731,0.0258,0.0224,0.36990157,-0.07053945,0,0.9754937118352182,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.870364782992158,46.69240725914346]}"
2_1_2_00000000000000000018_0,0.0399,0.0203,0.0451,0.0488,0.0167,0.0173,0.3951049,0.017647084,0,0.7020194029522171,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.8879717625609,46.6919581015014]}"
2_1_2_0000000000000000001a_0,0.0946,0.0761,0.0308,0.0294,0.0305,0.0352,0.45762712,0.071537286,0,0.8683063872142975,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.889768393129139,46.69007163940475]}"
2_1_2_0000000000000000001d_0,0.0649,0.0353,0.0494,0.0458,0.0182,0.0215,0.5023148,0.08312342,0,0.8848294504042215,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.865963038099972,46.69034113398998]}"
2_1_2_00000000000000000020_0,0.3213,0.2926,0.0412,0.0505,0.0842,0.1384,0.39786816,0.24348608,0,0.7010391759894483,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.891026034526907,46.684951242285265]}"
2_1_2_00000000000000000022_0,0.2734,0.2398,0.0425,0.0532,0.0659,0.1107,0.42358762,0.25368065,0,0.796240850002026,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.862100282378258,46.6814478126772]}"
2_1_2_0000000000000000002a_0,0.2526,0.2239,0.0575,0.0678,0.0814,0.1491,0.25765496,0.29370934,0,0.746015794860061,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.857518874429249,46.68252579101814]}"
2_1_2_0000000000000000002e_0,0.3581,0.2571,0.0524,0.061,0.1566,0.2079,0.26537102,0.14074075,0,0.7518482712321297,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.872071582031984,46.68504107381368]}"
2_1_2_0000000000000000002f_0,0.3991,0.2319,0.0433,0.059,0.1636,0.2205,0.28825048,0.14813852,0,0.7360280901835599,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.871442761333101,46.68432242158638]}"
2_1_2_00000000000000000034_0,0.3457,0.2801,0.0964,0.114,0.1216,0.1725,0.33423388,0.17307037,0,0.874242963566777,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.875664843168463,46.691868269972986]}"
2_1_2_00000000000000000043_0,0.2785,0.2633,0.0411,0.0545,0.0638,0.1412,0.3271384,0.377561,0,0.9300101045984525,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.891475192168967,46.683963095472734]}"
2_1_2_00000000000000000044_0,0.2626,0.2206,0.0986,0.1162,0.1262,0.1899,0.16066301,0.20151848,0,0.9796565231339557,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.885815805879013,46.68270545407497]}"
2_2_1_0000000000000000004b_0,0.1142,0.0485,0.016,0.0304,0.0149,0.3026,-0.45201534,0.90614176,1,0.8854242833464824,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.865244385872677,46.70013277058688]}"
2_2_1_00000000000000000050_0,0.1919,0.1395,0.0425,0.058,0.0686,0.2317,-0.09395657,0.54312354,1,0.8546160502629028,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.854644265520066,46.6836936008875]}"
2_2_1_00000000000000000057_0,0.2158,0.0912,0.0201,0.0396,0.0189,0.5035,-0.39997217,0.92764163,1,0.8859656165416058,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.851589993554059,46.675878257915656]}"
2_2_1_0000000000000000005f_0,0.2081,0.1532,0.0712,0.0866,0.0952,0.146,0.17537421,0.21061358,1,0.7577784934399072,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.889049740901844,46.6836936008875]}"
2_2_1_00000000000000000061_0,0.2709,0.1678,0.0501,0.0867,0.0712,0.3381,-0.11034479,0.65208894,1,0.8510513439792454,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.891475192168967,46.68234612796132]}"
2_2_1_00000000000000000064_0,0.2359,0.1702,0.0543,0.0762,0.0778,0.2664,-0.060720704,0.5479373,1,0.9801444554270342,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.859854494167959,46.68198680184767]}"
2_2_1_0000000000000000006c_0,0.1835,0.0796,0.0198,0.0362,0.0223,0.3491,-0.3109275,0.87991387,1,0.7277301809792274,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.8709936036910415,46.696898835564056]}"
2_2_1_00000000000000000072_0,0.1922,0.0969,0.0254,0.0604,0.0262,0.3703,-0.3166222,0.8678436,1,0.8821366363621443,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.892014181339438,46.69177843844457]}"
2_2_1_00000000000000000078_0,0.1678,0.1087,0.0363,0.064,0.042,0.3533,-0.35597777,0.7875032,1,0.7703013109823147,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.885097153651718,46.68881399800698]}"
2_2_1_00000000000000000079_0,0.1715,0.0838,0.0285,0.0487,0.03,0.4333,-0.43287036,0.8704943,1,0.9732807458480126,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.8705444460489815,46.68926315564904]}"
2_2_1_0000000000000000007a_0,0.1321,0.0925,0.0527,0.0654,0.065,0.1062,0.10868652,0.24065423,1,0.8983421110430775,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.870364782992158,46.69034113398998]}"
2_2_1_0000000000000000007b_0,0.1528,0.0739,0.0191,0.0327,0.0198,0.2446,-0.23100153,0.85022694,1,0.8609420885847355,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.87602416928211,46.68890382953539]}"
2_2_1_00000000000000000080_0,0.1953,0.1482,0.037,0.056,0.0489,0.1921,0.008260182,0.5941909,1,0.9990615605445116,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.868478320895506,46.68737669355239]}"
